Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
1979,8,-0.2034158611453889,0.7272727272727284,0.7702349869451697,6,2,1,1,1,2.117818987167606,0.6418744333413909,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,41,1.1532702849594028,0.7064449285850104,816.8460778042318,-0.46639191953031767
1971,12,-0.010969445681444688,0.7272727272727284,0.5613577023498695,1,1,2,1,1,-0.8698969073260514,-0.051720342173254684,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,57,-0.6768796909155289,0.46999495457732565,815.5497462468859,-0.39576753478930327
1963,1,0.7973054992671209,0.7272727272727284,0.5613577023498695,10,7,1,2,1,-0.8537895803672099,-0.05165899811291328,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,739,-0.6701619451148126,2.614958607341958,809.1834394855113,-0.0584267012726635
1964,1,-1.0501800891867434,0.7272727272727284,0.9373368146214098,9,2,1,2,1,0.7873790220158114,-0.9667008271422447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,-0.08471721825974582,0.10819379410329552,809.5703404313392,-0.5228914273231292
1957,12,-0.24190514423817772,0.7272727272727284,0.5613577023498695,9,1,1,1,1,-0.5599412955806066,-0.8050926949518346,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,979,-0.8690569539209165,0.384552153551617,807.0394958980744,-0.0584267012726635
1957,1,-1.3196050708362652,0.7272727272727284,0.7911227154046998,9,3,1,1,1,-0.28689765078124346,-0.026387537595245387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,600,-0.4238869816191648,0.6011236984898606,806.9723015156686,-0.47345435800441915
1954,12,-0.3958622766093331,0.7272727272727284,1.0000000000000002,14,8,3,1,1,0.7621373735004868,-0.22018218054411196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,634,0.2228215877968276,2.4811564435715723,803.7157332418632,-0.17355669758950618
1950,7,-0.4728408427949108,0.7272727272727284,0.5613577023498695,9,4,1,1,1,-0.1940557123358151,-0.015295787101364984,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,727,-0.38059160725174107,1.2220662771132345,804.1421960055236,-0.39576753478930327
1940,7,0.10449840359692184,0.7272727272727284,0.5613577023498695,6,6,2,1,1,-0.18806870882858653,-0.9664435953613464,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,798,-0.7833038232020282,1.7660170320149404,801.0215651204136,-0.39576753478930327
2019,8,-0.1264372949598112,0.6363636363636376,0.5404699738903394,4,1,2,1,1,0.6902381153076168,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0.8544488121809484,0.40647340663568743,834.4046851289189,0.0075625114404538896
2018,1,-0.7037765413516438,0.6363636363636376,0.5613577023498695,1,1,1,1,1,-0.8796780461257396,-0.0517504469456396,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,938,-0.6809559828578674,0.19286640407141573,835.0030455254414,-0.370021972189575
2018,14,0.6433483668959656,0.6363636363636376,0.5613577023498695,1,3,2,1,1,-0.7058183039612803,-0.9442359387361899,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-0.988936514852427,1.3065873597796005,835.0030455254414,-0.03268113867293518
2013,12,1.4516233118445312,0.6363636363636376,0.5613577023498695,1,1,1,1,1,-0.8681260479223981,-0.05171433651912221,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,239,-0.6761414482983783,0.99033254697803,832.9335456021907,0.33784090648299225
2012,8,-0.2803944273309666,0.6363636363636376,0.5195822454308094,3,3,2,1,1,0.12142939803751802,-0.9582863629297905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395,-0.6512511538315111,0.9648161556767657,831.8529501370505,-0.35589709524137214
2011,6,0.02751983741134415,0.6363636363636376,0.8955613577023498,4,1,1,1,1,-0.1216042930816724,-0.8271170383854816,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,398,-0.6963372606008107,0.4634352739861598,830.989639388,-0.483020987775198
2010,8,0.3354341021536549,0.6363636363636376,0.5822454308093994,5,1,1,1,1,-0.39760199955884457,-0.8320557740079838,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,375,-0.8131014404548702,0.5773590086871048,830.3279117861666,-0.3770844106636764
2019,9,0.3739233852464437,0.6363636363636376,0.5613577023498695,1,1,1,1,1,-0.8554539515661891,-0.051666059017201366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,528,-0.6708563979219394,0.5915994755247228,835.4169455100914,-0.370021972189575
2005,1,-0.3958622766093331,0.6363636363636376,0.5613577023498695,1,1,1,1,1,-0.678013050518618,-0.04953626504704087,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,-0.5962332034572905,0.3067901387723606,829.6223457249898,-0.370021972189575
2009,1,1.1821983301950094,0.6363636363636376,0.3524804177545693,8,4,1,1,1,2.371449240653757,1.4938044664484273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,379,1.700970115332421,1.8136062037020295,828.9628372225311,-0.2993975874485606
2004,14,-0.5498194089804884,0.6363636363636376,0.7702349869451697,1,2,4,1,1,2.371449240653757,-0.2685476475627153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,263,0.5773312402320019,0.5574805796176635,829.1473599381526,-0.4406463569305894
